td_number_and_name;basic_udi_di;dmids_no;article_number;product_group;product_name;udi_single_unit;udi_ve;mdr_code;risk_class;classification_rule;gmdn;umdns_code;emdn;certification_no;packaging_unit_ve;material;surface_info;iso_code;first_placing_on_market_date;legacy_device
MDR-TD1 - rot. Dentalinstrumente;4057176RotariesX7;DE/CA61/00025331;536288;FG Diam. Royal line;FG diamond medium;04057176190734;04057176190741;MDN 1208;Klasse lla;Regel 5.4;16670;16-670;Q010199;0297/170765128;5;steel 1.4035, diamond, nickel;ISO adapter, smooth, medium;806 314 033 524 027;2008-08-19;X
MDR-TD1 - rot. Dentalinstrumente;4057176RotariesX7;DE/CA61/00025331;536293;FG Diam. Royal line;FG diamond extracoarse;04057176193773;04057176193780;MDN 1208;Klasse lla;Regel 5.4;16670;16-670;Q010199;0297/170765128;5;steel 1.4035, diamond, nickel;ISO adapter, smooth, extracoarse;806 314 196 544 012;2008-09-16;X
MDR-TD1 - rot. Dentalinstrumente;4057176RotariesX7;DE/CA61/00025331;536295;FG Diam. Royal line;FG diamond coarse;04057176193759;04057176193766;MDN 1208;Klasse lla;Regel 5.4;16670;16-670;Q010199;0297/170765128;5;steel 1.4035, diamond, nickel;ISO adapter, smooth, coarse;806 314 196 534 012;2008-09-16;X
MDR-TD1 - rot. Dentalinstrumente;4057176RotariesX7;DE/CA61/00025331;536296;FG Diam. Royal line;FG diamond fine;04057176196590;04057176196606;MDN 1208;Klasse lla;Regel 5.4;16670;16-670;Q010199;0297/170765128;5;steel 1.4035, diamond, nickel;ISO adapter, smooth, fine;806 314 196 514 012;2008-09-22;X
MDR-TD1 - rot. Dentalinstrumente;4057176RotariesX7;DE/CA61/00025331;536298;FG Diam. Royal line;FG diamond medium;04057176190819;04057176190826;MDN 1208;Klasse lla;Regel 5.4;16670;16-670;Q010199;0297/170765128;5;steel 1.4035, diamond, nickel;ISO adapter, smooth, medium;806 314 196 524 012;2008-08-19;X
MDR-TD1 - rot. Dentalinstrumente;4057176RotariesX7;DE/CA61/00025331;536308;FG Diam. Royal line;FG diamond medium;04057176184641;04057176184658;MDN 1208;Klasse lla;Regel 5.4;16670;16-670;Q010199;0297/170765128;5;steel 1.4035, diamond, nickel;ISO adapter, smooth, medium;806 314 107 524 008;2006-07-10;X
MDR-TD1 - rot. Dentalinstrumente;4057176RotariesX7;DE/CA61/00025331;536315;FG Diam. Royal line;FG diamond coarse;04057176184665;04057176184672;MDN 1208;Klasse lla;Regel 5.4;16670;16-670;Q010199;0297/170765128;5;steel 1.4035, diamond, nickel;ISO adapter, smooth, coarse;806 314 107 534 010;2006-07-10;X
MDR-TD1 - rot. Dentalinstrumente;4057176RotariesX7;DE/CA61/00025331;536318;FG Diam. Royal line;FG diamond medium;04057176184689;04057176184696;MDN 1208;Klasse lla;Regel 5.4;16670;16-670;Q010199;0297/170765128;5;steel 1.4035, diamond, nickel;ISO adapter, smooth, medium;806 314 107 524 010;2006-07-10;X
MDR-TD1 - rot. Dentalinstrumente;4057176RotariesX7;DE/CA61/00025331;536325;FG Diam. Royal line;FG diamond coarse;04057176184702;04057176184719;MDN 1208;Klasse lla;Regel 5.4;16670;16-670;Q010199;0297/170765128;5;steel 1.4035, diamond, nickel;ISO adapter, smooth, coarse;806 314 107 534 012;2006-07-10;X
MDR-TD1 - rot. Dentalinstrumente;4057176RotariesX7;DE/CA61/00025331;536333;FG Diam. Royal line;FG diamond extracoarse;04057176212061;04057176212078;MDN 1208;Klasse lla;Regel 5.4;16670;16-670;Q010199;0297/170765128;5;steel 1.4035, diamond, nickel;ISO adapter, smooth, extracoarse;806 315 697 544 023;2020-02-17;X
